Nom,Code_Postal,Commune,Latitude,Longitude
Rivière d'Audoin,97180,Sainte-Anne,16.3004007,-61.359171
Ravine Bacadore,97101,Les Abymes,16.2567174,-61.5248714
Rivière de Baille-Argent,97116,Pointe-Noire,16.2669616,-61.7712066
Rivière du Baillif,97123,Baillif,16.0348095,-61.7303847
Rivière du Bananier,97130,Capesterre-Belle-Eau,16.0153596,-61.6071132
Baraguet,97116,Pointe-Noire,16.236248,-61.7434107
Rivière de Beaugendre,97119,Vieux-Habitants,16.1091115,-61.7335328
Rivière Bourceau,97125,Bouillante,16.1562519,-61.7720716
Rivière Bras-David,97170,Petit-Bourg,16.1958792,-61.670177
Caillou (rivière),97116,Pointe-Noire,16.2333037,-61.7835744
Rivière du Coin,97122,Baie-Mahault,16.2354032,-61.5891732
Rivière Colas,97125,Bouillante,16.1833152,-61.7554573
Rivière Corossol,97170,Petit-Bourg,16.159159,-61.698446
Rivière aux écrevisses,97170,Petit-Bourg,16.1702927,-61.685871
Petite Rivière (Deshaies),97126,Deshaies,16.2742012,-61.7788455
Rivière Ferry,97126,Deshaies,16.2846206,-61.7912243
Galion,97100,Basse-Terre,15.9915418,-61.7175775
Ravine Gardel,97160,Le Moule,16.3204266,-61.3340658
Ravine Gaschet,97131,Petit-Canal,16.3893612,-61.5098955
Petite Rivière à Goyave,97128,Goyave,16.128716,-61.5762623
Rivière du Grand Carbet,97130,Capesterre-Belle-Eau,16.0456536,-61.6521285
Rivière Grande Anse,97114,Trois-Rivières,15.9747587,-61.66274
Rivière Grande Plaine,97116,Pointe-Noire,16.2073175,-61.7587313
Grande Rivière à Goyaves,97129,Lamentin,16.2110427,-61.6583083
Grande Rivière de la Capesterre,97130,Capesterre-Belle-Eau,16.0716221,-61.6095181
Grande Rivière des Vieux-Habitants,97119,Vieux-Habitants,16.0574966,-61.7535793
Rivière aux Herbes,97100,Basse-Terre,15.9977243,-61.7229751
Rivière Houaromand,97122,Baie-Mahault,16.262076,-61.5762167
Rivière Bois Bananes,97129,Lamentin,16.2182987,-61.7162141
Rivière Bras de Sable,97129,Lamentin,16.1989262,-61.7256875
Rivière du Lamentin,97129,Lamentin,16.2712906,-61.6296489
Lézarde,97170,Petit-Bourg,16.1924028,-61.6289797
Rivière Lostau,97125,Bouillante,16.1618501,-61.7630044
La Rate (rivière),97126,Deshaies,16.3245179,-61.7729536
Rivière Deshaies,97126,Deshaies,16.2980244,-61.7758399
Rivière Madame,97115,Sainte-Rose,16.3316921,-61.7325739
Rivière Mitan,97126,Deshaies,16.3103858,-61.7797695
Rivière Ziotte,97126,Deshaies,16.3220858,-61.7852314
Rivière Mahault,97122,Baie-Mahault,16.2511524,-61.6137259
Rivière Maleville,97126,Deshaies,16.2803454,-61.788849
Rivière Moreau,97128,Goyave,16.1228525,-61.6115387
Rivière Moustique (Petit-Bourg),97170,Petit-Bourg,16.161369,-61.6270731
Rivière Moustique (Sainte-Rose),97115,Sainte-Rose,16.29505,-61.7156788
Rivière de Nogent,97115,Sainte-Rose,16.3052626,-61.7542009
Rivière des Pères,97100,Basse-Terre,16.0101017,-61.7382042
Rivière du Pérou,97130,Capesterre-Belle-Eau,16.0549835,-61.5876107
Canal de Perrin,97111,Les Abymes,16.303908,-61.5131676
Rivière du Petit Carbet,97114,Trois-Rivières,16.015253,-61.6476056
Rivière Petite Plaine,97116,Pointe-Noire,16.2244085,-61.7612504
Petite Rivière de la Capesterre,97130,Capesterre-Belle-Eau,16.0808028,-61.6548523
Rivière du Plessis,97123,Baillif,16.0515187,-61.73222
Rivière de la Ramée,97115,Sainte-Rose,16.3265206,-61.7192642
Ravine du Nord-Ouest,97160,Le Moule,16.333419,-61.370506
Ravine Salée,97113,Gourbeyre,15.9755789,-61.7049073
Rivière de Bouillante,97125,Bouillante,16.1363365,-61.7565113
Rivière la Rose,97128,Goyave,16.14746825,-61.58501054933737
Canal des Rotours,97111,Morne-à-l'Eau,16.3417751,-61.4727585
Rivière Saint-Denis,97130,Capesterre-Belle-Eau,16.0420951,-61.5685049
Rivière de Saint-Louis,97140,Capesterre-de-Marie-Galante,15.9206299,-61.2567917
Rivière de Sainte-Marie,97130,Capesterre-Belle-Eau,16.0944915,-61.5753476
Rivière Salée (Sainte-Rose),97115,Sainte-Rose,16.319438,-61.7125403
Rivière la Sarcelle,97170,Petit-Bourg,16.1619879,-61.5835297
Rivière Sens,97113,Gourbeyre,15.9911075,-61.7077573
Rivière du Vieux-Fort (Basse-Terre),97115,Sainte-Rose,16.3342279,-61.7537483
