Nom,Code_Postal,Commune,Latitude,Longitude
Plage de la Chapelle,97121,Anse-Bertrand,16.4712254,-61.51292251848841
Plage de l'Anse Laborde,97121,Anse-Bertrand,16.4840421,-61.50102770703285
Trou à Man Lwi,97121,Anse-Bertrand,16.48569885,-61.49737344283831
Plage de l'Anse Colas,97121,Anse-Bertrand,16.46269045,-61.5229615710841
Plage de la Porte d'Enfer,97121,Anse-Bertrand,16.4862218,-61.44169813718631
Plage des Sources,97123,Baillif,16.0273327,-61.74835409528754
Plage de Rivière-Sens,97100,Basse-Terre,15.9808561,-61.71551434365537
Plage des Sources,97100,Basse-Terre,16.0273327,-61.74835409528754
Plage d'Anse du Val de l'Orge,97100,Basse-Terre,16.040281049999997,-61.75490434892015
Plage de Rocroy,97100,Basse-Terre,16.04659015,-61.76089250991379
Plage d'Anse à Sable,97125,Bouillante,16.1483888,-61.77511726090683
Plage de Petite Anse,97125,Bouillante,16.09606265,-61.77069854617928
Plage de Malendure,97125,Bouillante,16.171961699999997,-61.77642613263339
Plage de Roseau,97130,Capesterre-Belle-Eau,16.093152850000003,-61.55902578446879
Plage de la Feuillère,97140,Capesterre-de-Marie-Galante,15.888384649999999,-61.22297658187817
Plage de la Ferrière,97140,Capesterre-de-Marie-Galante,15.88585115,-61.22676685185252
Plage de la Petite Anse,97140,Capesterre-de-Marie-Galante,15.8799991,-61.233512877083335
Plages des Galets,97140,Capesterre-de-Marie-Galante,15.91126345,-61.19982923575483
Plage de Rivière-Sens,97113,Gourbeyre,15.9808561,-61.71551434365537
Plage à Fifi,97127,La Désirade,16.3029607,-61.0703128517749
Plage à Fanfan,97127,La Désirade,16.299796899999997,-61.07782551766479
Plage du Souffleur,97127,La Désirade,16.3103181,-61.0447154225855
Plage des Galets,97127,La Désirade,16.2938592,-61.09432905735294
Plage de Baie-Mahault,97127,La Désirade,16.32934815,-61.01397384834617
Plage de Deshaies,97126,Deshaies,16.30550125,-61.79495035693684
Plage Bosco,97126,Deshaies,16.2861063,-61.801744239267016
Plage de Rifflet,97126,Deshaies,16.3350309,-61.787775332636315
Plage de Leroux,97126,Deshaies,16.27547895,-61.80418566891362
Plage de Petit Bas Vent,97126,Deshaies,16.3472683,-61.776615914551826
Plage de Grand Bas Du Vent,97126,Deshaies,16.3494147,-61.77451180079052
Plage de Tillet,97126,Deshaies,16.350813950000003,-61.76891510447059
Plage des Bébés,97112,Grand-Bourg,15.871186699999999,-61.28939031480863
Plage des Trois Îlets,97112,Grand-Bourg,15.925298699999999,-61.33427747157042
Plage de Folle Anse,97112,Grand-Bourg,15.94934955,-61.32334671335073
Plage de la Datcha,97190,Le Gosier,16.20475935,-61.494683533183874
Plage de l'Anse Tabarin,97190,Le Gosier,16.205391149999997,-61.50049828874144
Plage de Grand Baie,97190,Le Gosier,16.21226975,-61.50738695589777
Plage d'Anse Vinaigri,97190,Le Gosier,16.19938965,-61.46984685795807
Plage de la Caye d'Argent,97190,Le Gosier,16.2163743,-61.52743113669399
Plage des Salines,97190,Le Gosier,16.205200599999998,-61.443026224105544
Plage de Petit-Havre,97190,Le Gosier,16.20927915,-61.42569407483619
Les Deux Oursins,97190,Le Gosier,16.209645899999998,-61.42335849942228
Plage de Babin,97111,Morne-à-l'Eau,16.341054200000002,-61.52613450339696
Plage du Port,97111,Morne-à-l'Eau,16.3786408,-61.49656663633388
Plage de Pointe Sable,97111,Morne-à-l'Eau,16.38738635,-61.51077688872549
Plage de L'Autre Bord,97160,Le Moule,16.32966285,-61.340883371115154
Plage de l'Autre Bord,97160,Le Moule,16.3326014,-61.340525706509354
Plage de l'autre bord,97160,Le Moule,16.33331855,-61.33777376165689
Plage des Alizés,97160,Le Moule,16.3335341,-61.3361038
Plage de Montal,97160,Le Moule,16.3319922,-61.324999
Plage des Dauphins,97160,Le Moule,16.3321348,-61.32505851490956
Plage du Port,97131,Petit-Canal,16.3786408,-61.49656663633388
Plage de l'Anse des Corps,97131,Petit-Canal,16.41659005,-61.402691424261604
Plage de la Caye d'Argent,97110,Pointe-à-Pitre,16.2163743,-61.52743113669399
Plage de Bas-du-Fort,97110,Pointe-à-Pitre,16.21408675,-61.523198811680516
Plage de Grand Baie,97110,Pointe-à-Pitre,16.21226975,-61.50738695589777
Plage de l'Anse Tabarin,97110,Pointe-à-Pitre,16.205391149999997,-61.50049828874144
Plage de la Datcha,97110,Pointe-à-Pitre,16.20475935,-61.494683533183874
Plage d'Anse à Coq,97110,Pointe-à-Pitre,15.992527299999999,-61.252348462854656
Plage de Folle Anse,97110,Pointe-à-Pitre,15.94934955,-61.32334671335073
Anse Canot,97110,Pointe-à-Pitre,15.981853399999999,-61.30549652586426
Plage du Vieux Fort,97110,Pointe-à-Pitre,15.9877459,-61.30150112603694
Plage d'Anse Bambou,97110,Pointe-à-Pitre,15.99218105,-61.29869161612311
Plage Marigot,97116,Pointe-Noire,16.235477850000002,-61.792032226050424
Plage de l'Anse Caraïbe,97116,Pointe-Noire,16.2122042,-61.78272410002048
Plage de Petite Anse,97116,Pointe-Noire,16.2679297,-61.80580252514425
Plage à Jouibert,97117,Port-Louis,16.413437700000003,-61.53244632007299
Plage du Souffleur,97117,Port-Louis,16.4286248,-61.535721077135506
Anse Gris Gris,97117,Port-Louis,16.403484249999998,-61.528362099403196
Plage d'Antigues,97117,Port-Louis,16.434504949999997,-61.5367406042464
Plage de Pointe Sable,97117,Port-Louis,16.38738635,-61.51077688872549
Plage des Raisins Clairs,97118,Saint-François,16.250192849999998,-61.280335252590376
Plage du Haut du Bourg,97118,Saint-François,16.2506377,-61.2675518
Plage de la Pointe des Pies,97118,Saint-François,16.25092,-61.265553491660725
Plage du Lagon,97118,Saint-François,16.2519513,-61.26438667657909
Plage d'Anse Champagne,97118,Saint-François,16.25312155,-61.26204099224294
Plage de l'Anse des Rochers,97118,Saint-François,16.2420741,-61.30588096398627
Anse à la Baie,97118,Saint-François,16.2784098,-61.248199281310676
Plage des Rouleaux,97118,Saint-François,16.27349545,-61.24325521991395
Plage de la Douche,97118,Saint-François,16.2530775,-61.23100070992571
Plage de la douche,97118,Saint-François,16.2528635,-61.22988467616641
Anse Canot,97134,Saint-Louis,15.981853399999999,-61.30549652586426
Plage des Sources,97134,Saint-Louis,16.0273327,-61.74835409528754
Plage du Vieux Fort,97134,Saint-Louis,15.9877459,-61.30150112603694
Plage d'Anse du Val de l'Orge,97134,Saint-Louis,16.040281049999997,-61.75490434892015
Plage d'Anse Bambou,97134,Saint-Louis,15.99218105,-61.29869161612311
Plage de Rocroy,97134,Saint-Louis,16.04659015,-61.76089250991379
Plage d'Anse à Coq,97134,Saint-Louis,15.992527299999999,-61.252348462854656
Plage du Bourg,97180,Sainte-Anne,16.222571000000002,-61.38097426571734
